"column_1","value_1","column_2","value_2","primary_id","primary_label","eco_id","eco_label","feature","extension_relation","extension_range"
"disease_manifestation","small restricted lesions",,,"PHIPO:0000480","presence of pathogen-associated host lesions",,,"metagenotype",,
"disease_manifestation","small tumours",,,"?",,,,,,
"disease_manifestation","small tumours and chlorosis",,,"?",,,,,,
"disease_manifestation","smaller blast lesions",,,"?","decreased size of lesions",,,,,
"disease_manifestation","smaller knots than wild type",,,"?",,,,,,
"disease_manifestation","smaller lesions",,,"?","decreased size of lesions",,,,,
"disease_manifestation","smaller lesions and lesser chlorosis than wild type",,,"?","decreased size of lesions & reduced chlorosis in presence of pathogen",,,,,
"disease_manifestation","tiny lesions",,,"PHIPO:0000480","presence of pathogen-associated host lesions",,,"metagenotype",,
"disease_manifestation","tiny necrotic lesions",,,"PHIPO:0000480","presence of pathogen-associated host lesions",,,"metagenotype",,
"disease_manifestation","tumor size reduced",,,"?","decreased size of tumor",,,,,
"disease_manifestation","tumor size reduced, less mortality",,,"?","decreased size of tumor",,,,,
"disease_manifestation","tumors",,,"?","presence of tumors",,,,,
"disease_manifestation","Median lethal time (LT50)estimates ofDBbACandDMrACagainst susceptible insects were 10.9 and 1.4 d longer than those from wild-type strains respectively",,,"?",,,,,,
"disease_manifestation","No blast lesion",,,"PHIPO:0000481","absence of pathogen-associated host lesions",,,"metagenotype",,
"disease_manifestation","Reduced blast lesions",,,"?","decreased number of lesions",,,,,
"disease_manifestation","Reduced lesion length",,,"?","decreased size of lesions",,,,,
"disease_manifestation","Small lesions",,,"?","decreased size of lesions",,,,,
"disease_manifestation","The mutant lesions were non-proliferating, and were less coalesced as compared to the highly coalesced and proliferating lesions resulting from infection with the wild-type strain.",,,"PHIPO:0000985","absence of lesion proliferation & decreased extent of pathogen-associated host lesions",,,"metagenotype",,
"disease_manifestation","Tissue necrosis",,,"?","presence of necrosis",,,,,
"disease_manifestation","Typical blast lesions",,,"PHIPO:0000480","presence of pathogen-associated host lesions",,,"metagenotype",,
"disease_manifestation","Unable to cause blast disease lesions",,,"PHIPO:0000481","absence of pathogen-associated host lesions",,,"metagenotype",,
"disease_manifestation","blister-like lesions; necrosis; delayed wilting",,,"?","presence of lesions & cell death & delayed wilting",,,,,
"disease_manifestation","brown discoloration",,,"?",,,,,,
"disease_manifestation","decreased lesion length",,,"?","decreased length of lesions",,,,,
"disease_manifestation","few and isolated lesions",,,"?","decreased number of lesions",,,,,
"disease_manifestation","few and small necrotic lesions",,,"?","decreased number of lesions & decreased size of lesions",,,,,
"disease_manifestation","increased lesion diameter",,,"?","increased size of lesions",,,,,
"disease_manifestation","increased lesions",,,"?","decreased number of lesions",,,,,
"disease_manifestation","increased necrosis",,,"?","increased quality of necrosis",,,,,
"disease_manifestation","large lesions",,,"?","increased size of lesions",,,,,
"disease_manifestation","larger lesions",,,"?","increased size of lesions",,,,,
"disease_manifestation","low disease severity",,,"?",,,,,,
"disease_manifestation","no",,,"?",,,,,,
"disease_manifestation","no visible lesion",,,"PHIPO:0000481","absence of pathogen-associated host lesions",,,"metagenotype",,
"disease_manifestation","no visible lesions",,,"PHIPO:0000481","absence of pathogen-associated host lesions",,,"metagenotype",,
"disease_manifestation","pinhead-sized brown specks; 1.5 mm brown spots; 2 - 3 mm gray spots with brown margins",,,"?",,,,,,
"disease_manifestation","reduced blast lesion",,,"?","decreased size of lesions",,,,,
"disease_manifestation","reduced lesion diameter",,,"?","decreased size of lesions",,,,,
"disease_manifestation","reduced lesions",,,"?","decreased number of lesions",,,,,
"disease_manifestation","reduced necrotic lesions",,,"?","decreased number of lesions",,,,,
"disease_manifestation","same as wild type",,,"?",,,,,,
"disease_manifestation","seven dpi (half as pathogenic as wild type)",,,"N/A",,,,,,
"disease_manifestation","significantly increased survival",,,"?",,,,,,
"disease_manifestation","slight lesions",,,"?","decreased size of lesions",,,,,
"disease_manifestation","slighter necrosis",,,"?","decreased size of lesions",,,,,
"disease_manifestation","small and restricted lesions",,,"?","decreased size of lesions",,,,,
"disease_manifestation","small lesion",,,"?","decreased size of lesions",,,,,
"disease_manifestation","smaller lesion",,,"?","decreased size of lesions",,,,,
"disease_manifestation","typical blast lesions",,,"PHIPO:0000480","presence of pathogen-associated host lesions",,,"metagenotype",,
"disease_manifestation","vascular discoloration",,,"?",,,,,,
"disease_manifestation","wild type",,,"N/A",,,,,,
"essential_gene","no",,,"?","viable population",,,"pathogen_genotype",,
"essential_gene","yes",,,"PHIPO:0000513","inviable population",,,"pathogen_genotype",,
"host_response","wild type Pit2 fully restored disease tumor formation of the pit2 deletion mutant",,,"PHIPO:0001268","presence of host gall during pathogen invasion",,,"metagenotype",,
"host_response","Increased inflammatory response",,,"PHIPO:0001255","increased host immune inflammatory response with pathogen",,,"metagenotype",,
"host_response","Production of Phenolic compounds; Oxidative burst",,,"PHIPO:0001230","host defense-induced phenolic compound present",,,"metagenotype",,
"host_response","Production of Phenolic compounds; Oxidative burst",,,"PHIPO:0000927","host defense-induced reactive oxygen species present",,,"metagenotype",,
"host_response","Callose deposition",,,"PHIPO:0001083","host defense-induced callose deposition present",,,"metagenotype",,
"host_response","reduced callose deposition",,,"PHIPO:0001015","decreased level of host defense-induced callose deposition",,,"metagenotype",,
"host_response","Enhance callose deposition",,,"PHIPO:0001014","increased level of host defense-induced callose deposition",,,"metagenotype",,
"host_response","fewer and smaller lesions",,,"?","decreased number of pathogen-associated host lesions & decreased size of pathogen-associated host lesions",,,"metagenotype",,
"host_response","Oxidative burst in adjacent uninfected cells",,,"PHIPO:0000927","host defense-induced reactive oxygen species present",,,"metagenotype",,
"host_response","oxidative burst",,,"PHIPO:0000927","host defense-induced reactive oxygen species present",,,"metagenotype",,
"host_response","Necrosis",,,"PHIPO:0000480","presence of pathogen-associated host lesions",,,"metagenotype",,
"host_response","brown spindle-shaped necrotic lesions",,,"PHIPO:0000480","presence of pathogen-associated host lesions",,,"metagenotype",,
"host_response","necrosis",,,"PHIPO:0000480","presence of pathogen-associated host lesions",,,"metagenotype",,
"host_response","cell death and ROS",,,"PHIPO:0000446","host cell death phenotype",,,"host_genotype",,
"host_response","cell death and ROS",,,"PHIPO:0000927","host defense-induced reactive oxygen species present",,,"host_genotype",,
"host_response","Cell death",,,"PHIPO:0000446","host cell death phenotype",,,"host_genotype",,
"host_response","cell death",,,"PHIPO:0000446","host cell death phenotype",,,"host_genotype",,
"host_response","deletions do not affect the hypersensitive response orin planta growth of the resulting strains",,,"PHIPO:0000192","presence of host-defense induced lesion by host hypersensitive response",,,"metagenotype",,
"host_response","HR, rapid ion leakage, milder visual cell death",,,"PHIPO:0000192","presence of host-defense induced lesion by host hypersensitive response & increased rate of ion leakage",,,"metagenotype",,
"host_response","HR, rapid ion leakage, visual cell death",,,"PHIPO:0000192","presence of host-defense induced lesion by host hypersensitive response & increased rate of ion leakage",,,"metagenotype",,
"host_response","Hypersensitive response and increased necrosis",,,"PHIPO:0000192","presence of host-defense induced lesion by host hypersensitive response & ?",,,"metagenotype",,
"host_response","Hypersensitive reaction",,,"PHIPO:0000192","presence of host-defense induced lesion by host hypersensitive response",,,"metagenotype",,
"host_response","Hypersensitive response",,,"PHIPO:0000192","presence of host-defense induced lesion by host hypersensitive response",,,"metagenotype",,
"host_response","hypersensitive response (~20-24 h post infiltration)",,,"PHIPO:0000192","presence of host-defense induced lesion by host hypersensitive response",,,"metagenotype",,
"host_response","hypersensitive response with generation of water soaked lesions around infiltration site which further enlarged and further enlarged and collapsed large areas of tissues around infiltration sites; Confers disease resistance (small necrotic lesions , few and small chlorotic lesions) against different fungal and bacterial pathogens including B. cinerea, P. syringae pv. tomato and A. brassicicola.",,,"PHIPO:0000192","presence of host-defense induced lesion by host hypersensitive response",,,"metagenotype",,
"host_response","hypersensitive response-like cell death",,,"PHIPO:0000192","presence of host-defense induced lesion by host hypersensitive response",,,"metagenotype",,
"host_response","resistance hypersensitive response",,,"PHIPO:0000192","presence of host-defense induced lesion by host hypersensitive response",,,"metagenotype",,
"host_response","resistance hypersensitive response (seen as a reduction in blue stained GUS expressing cells)",,,"PHIPO:0000192","presence of host-defense induced lesion by host hypersensitive response",,,"metagenotype",,
"host_response","slight induction of hypersensitive reaction",,,"PHIPO:0000192","presence of host-defense induced lesion by host hypersensitive response",,,"metagenotype",,
"host_response","Compromised hypersensitive cell death and Weakened defense response",,,"PHIPO:0000182","absence of host-defense induced lesion by host hypersensitive response & weakened defense response",,,"metagenotype",,
"host_response","compromised hypersensitive cell death and weakened defense response",,,"PHIPO:0000182","absence of host-defense induced lesion by host hypersensitive response & weakened defense response",,,"metagenotype",,
"host_response","no HR, no ion leakage, no visual cell death, bacterial accumulation equal to control Vir strain, abolished Rpg3-derived resistance",,,"PHIPO:0000182","absence of host-defense induced lesion by host hypersensitive response & absence of ion leakage",,,"metagenotype",,
"host_response","no HR, no ion leakage, no visual cell death, bacterial accumulation slightly less than control Vir strain, compromised Rpg4-derived resistance",,,"PHIPO:0000182","absence of host-defense induced lesion by host hypersensitive response & absence of ion leakage",,,"metagenotype",,
"host_response","no HR, reduced ion leakage, no visual cell death, 9 fold more bacterial accumulation",,,"PHIPO:0000182","absence of host-defense induced lesion by host hypersensitive response & reduced ion leakage",,,"metagenotype",,
"host_response","no cell death no ROS",,,"PHIPO:0000182","absence of host-defense induced lesion by host hypersensitive response",,,"metagenotype",,
"host_response","no cell death no ROS",,,"PHIPO:0000928","host defense-induced reactive oxygen species absent",,,"metagenotype",,
"host_response","failed to elicit proper hypersensitive reaction",,,"PHIPO:0000182","absence of host-defense induced lesion by host hypersensitive response",,,"metagenotype",,
"host_response","no hypersensitive response",,,"PHIPO:0000182","absence of host-defense induced lesion by host hypersensitive response",,,"metagenotype",,
"host_response","no hypersensitive response (24h after infection)",,,"PHIPO:0000182","absence of host-defense induced lesion by host hypersensitive response",,,"metagenotype",,
"host_response","no hypersensitive response (48 h post infiltration)",,,"PHIPO:0000182","absence of host-defense induced lesion by host hypersensitive response",,,"metagenotype",,
"host_response","no hypersensitive response (~20-24 h post infiltration)",,,"PHIPO:0000182","absence of host-defense induced lesion by host hypersensitive response",,,"metagenotype",,
"host_response","none or very small reddish HR",,,"PHIPO:0000182","absence of host-defense induced lesion by host hypersensitive response",,,"metagenotype",,
"host_response","Enhanced defense response and cell death",,,"?","increased quality of host defence response & ?",,,,,
"host_response","Induced a rice basal defence response",,,"?","?",,,,,
"host_response","LOX activity",,,"?","?",,,,,
"host_response","Less chlorosis",,,"?","reduced host chlorosis in presence of pathogen",,,,,
"host_response","More chlorosis",,,"?","increased host chlorosis in presence of pathogen",,,,,
"host_response","Strong defense response",,,"?","increased quality of host defence response",,,,,
"host_response","a mixture of MpCP1 with MpNEP2 led to a synergistic necrosis effect very similar to that found in naturally infected plants",,,"?",,,,,,
"host_response","accumulation of H2O2; induction of defense related genes; transcriptional inhibition of genes associated with jasmonate biosynthesis",,,"?",,,,,,
"host_response","elevated host response",,,"?","increased quality of host defence response",,,,,
"host_response","expression of the rice defense-related genes PR1a and PBZ1 in response to Dlhs1 infection was less than that caused by infection with the wild-type KJ201 when analyzed by quantitative RT-PCR; reduced hypersensitive death",,,"?","decreased quality of effector-independent host hypersensitive response",,,,,
"host_response","increased infection",,,"?",,,,,,
"host_response","more ROS production, stronger defense response",,,"PHIPO:0001193","increased level of host defense-induced reactive oxygen species & increased quality of host defence response",,,"metagenotype",,
"host_response","more drenching and necrosis",,,"?",,,,,,
"host_response","mutant Pit2 was unable to restore tumor formation of the pit2 deletion mutant",,,"?","absence of host gall during pathogen invasion",,,,,
"host_response","no Rps3b-mediated cell death",,,"?",,,,,,
"host_response","radical length reduced by all isolates",,,"?","abnormally decreased length of radicle",,,,,
"host_response","strong host response elicited by SG200Dcmu1-cmu1R183A,K194A mutant",,,"?",,,,,,
"host_response","strong hypersensitive response",,,"?","increased quality of effector-independent host hypersensitive response",,,,,
"host_response","stronger defence response",,,"?","increased quality of host defence response",,,,,
"host_response","transparency, dried leaf",,,"?",,,,,,
"host_response","weaker defence response",,,"?",,,,,,
"host_response","Indications that gas1 mutants provoke a plant response",,,"?",,,,,,
"host_response","PemG1 induces transient expression of Pathogen Related genes in rice and increases resistance to other bacterial infections",,,"?",,,,,,
"host_response","Pop1 behaved as PAMP, since it stimulated poplar leaf tissues to activate defence responses able to reduce consistently the C. populicola growth in non susceptible poplar plants.",,,"?","presence of host defence response",,,,,
"host_response","The mutants reduced in virulence were chosen by C. Elegans for feeding over the mutants with wild type pathogenticity.",,,"N/A",,,,,,
"host_response","The presence of the gene sm1 from Trichoderma virens (root nodules) confers resistance against Colletotrichum sp. infections.",,,"?","increased quality of host resistance",,,,,
"host_response","The presence of the gene sm1 from Trichoderma virens (root nodules) confers resistance to maize against Colletotrichum graminicola infections.",,,"?","increased quality of host resistance",,,,,
"host_response","disease",,,"N/A",,,,,,
"host_response","no",,,"?","absence of host defence response",,,,,
"host_response","plasma membrane",,,"N/A",,,,,,
"host_response","reduced infections",,,"?",,,,,,
"host_response","resistance",,,"?",,,,,,
"host_response","unaffected pathogeniticy in mutants; increased susceptibility in wildtype",,,"?",,,,,,
"in_vitro_growth","increased","is_filamentous",FALSE,"PHIPO:0000975","increased unicellular population growth",,,"pathogen_genotype",,
"in_vitro_growth","increased","is_filamentous",TRUE,"PHIPO:0001234","increased hyphal growth",,,"pathogen_genotype",,
"in_vitro_growth","aberrant","is_filamentous",FALSE,"PHIPO:0000414","abnormal unicellular population growth",,,"pathogen_genotype",,
"in_vitro_growth","aberrant","is_filamentous",TRUE,"PHIPO:0001215","abnormal hyphal growth",,,"pathogen_genotype",,
"in_vitro_growth","defective","is_filamentous",FALSE,"PHIPO:0000414","abnormal unicellular population growth",,,"pathogen_genotype",,
"in_vitro_growth","defective","is_filamentous",TRUE,"PHIPO:0001215","abnormal hyphal growth",,,"pathogen_genotype",,
"in_vitro_growth","reduced","is_filamentous",FALSE,"PHIPO:0000974","decreased unicellular population growth",,,"pathogen_genotype",,
"in_vitro_growth","reduced","is_filamentous",TRUE,"PHIPO:0001212","decreased hyphal growth",,,"pathogen_genotype",,
"in_vitro_growth","wild type","is_filamentous",FALSE,"PHIPO:0000405","normal unicellular population growth",,,"pathogen_genotype",,
"in_vitro_growth","wild type","is_filamentous",TRUE,"PHIPO:0001210","normal hyphal growth",,,"pathogen_genotype",,
"in_vitro_growth","aberrant (altered cell morphology)","is_filamentous",FALSE,"?","abnormal unicellular colony morphology",,,"pathogen_genotype",,
"in_vitro_growth","aberrant (altered hyphal morphology)","is_filamentous",TRUE,"PHIPO:0001205","abnormal filament morphology",,,"pathogen_genotype",,
"in_vitro_growth","aberrant (altered morphology)","is_filamentous",FALSE,"?","abnormal unicellular colony morphology",,,"pathogen_genotype",,
"in_vitro_growth","aberrant (hyperbranching)","is_filamentous",TRUE,"PHIPO:0001153","hyphal hyper branching",,,"pathogen_genotype",,
"in_vitro_growth","aberrant (some impairment)","is_filamentous",FALSE,"PHIPO:0000974","decreased unicellular population growth",,,"pathogen_genotype",,
"in_vitro_growth","aberrant; defective","is_filamentous",FALSE,"PHIPO:0000974","decreased unicellular population growth",,,"pathogen_genotype",,
"in_vitro_growth","aberrant; increased","is_filamentous",FALSE,"PHIPO:0000975","increased unicellular population growth",,,"pathogen_genotype",,
"in_vitro_growth","aberrant; reduced","is_filamentous",FALSE,"PHIPO:0000974","decreased unicellular population growth",,,"pathogen_genotype",,
"in_vitro_growth","arginine auxotroph","is_filamentous",FALSE,"?","growth auxotrophic for arginine",,,"pathogen_genotype",,
"in_vitro_growth","beige colonies","is_filamentous",FALSE,"?",,,,"pathogen_genotype",,
"in_vitro_growth","decreased","is_filamentous",FALSE,"PHIPO:0000974","decreased unicellular population growth",,,"pathogen_genotype",,
"in_vitro_growth","defective on minimal media","is_filamentous",FALSE,"PHIPO:0000974","decreased unicellular population growth","PECO:0005020","minimal medium","pathogen_genotype",,
"in_vitro_growth","delayed","is_filamentous",FALSE,"?","delayed unicellular population growth",,,"pathogen_genotype",,
"in_vitro_growth","different colony morphology","is_filamentous",FALSE,"?","abnormal unicellular colony morphology",,,"pathogen_genotype",,
"in_vitro_growth","heat sensitive","is_filamentous",FALSE,"?","senstivity to heat",,,"pathogen_genotype",,
"in_vitro_growth","increased; aberrant","is_filamentous",FALSE,"PHIPO:0000975","increased unicellular population growth",,,"pathogen_genotype",,
"in_vitro_growth","mating efficiency reduced","is_filamentous",FALSE,"?","decreased rate of mating",,,"pathogen_genotype",,
"in_vitro_growth","mating, pheromone response and filamentation defects","is_filamentous",TRUE,"PHIPO:0001205","decreased rate of mating & abnormal filament morphology",,,"pathogen_genotype",,
"in_vitro_growth","no","is_filamentous",FALSE,"?","absence of unicellular population growth",,,"pathogen_genotype",,
"in_vitro_growth","reduced (on mannitol as sole carbon source growth abolished)","is_filamentous",FALSE,"PHIPO:0000974","decreased unicellular population growth & absence of unicellular population growth",,,"pathogen_genotype",,
"in_vitro_growth","reduced (on mannitol as sole carbon source)","is_filamentous",FALSE,"PHIPO:0000974","decreased unicellular population growth",,,"pathogen_genotype",,
"in_vitro_growth","reduced aerial hyphae","is_filamentous",TRUE,"PHIPO:0000205","decreased aerial height of filament",,,"pathogen_genotype",,
"in_vitro_growth","reduced aerial mycelium","is_filamentous",TRUE,"PHIPO:0000205","decreased aerial height of filament",,,"pathogen_genotype",,
"in_vitro_growth","reduced by 20% on solid media, 30% in liquid culture","is_filamentous",FALSE,"PHIPO:0000974","decreased unicellular population growth",,,"pathogen_genotype",,
"in_vitro_growth","reduced by up to 40%","is_filamentous",FALSE,"PHIPO:0000974","decreased unicellular population growth",,,"pathogen_genotype",,
"in_vitro_growth","reduced on cm medium","is_filamentous",FALSE,"PHIPO:0000974","decreased unicellular population growth",,,"pathogen_genotype",,
"in_vitro_growth","reduced on pectin","is_filamentous",FALSE,"PHIPO:0000974","decreased unicellular population growth",,,"pathogen_genotype",,
"in_vitro_growth","reduced on solid media","is_filamentous",FALSE,"PHIPO:0000974","decreased unicellular population growth",,,"pathogen_genotype",,
"in_vitro_growth","reduced on solid medium, not in liquid medium","is_filamentous",FALSE,"PHIPO:0000974","decreased unicellular population growth",,,"pathogen_genotype",,
"in_vitro_growth","reduced rate of appressoria formation","is_filamentous",FALSE,"PHIPO:0000974","decreased unicellular population growth",,,"pathogen_genotype",,
"in_vitro_growth","reduced; aberrant","is_filamentous",FALSE,"PHIPO:0000974","decreased unicellular population growth",,,"pathogen_genotype",,
"in_vitro_growth","reduced; defective","is_filamentous",FALSE,"PHIPO:0000974","decreased unicellular population growth",,,"pathogen_genotype",,
"in_vitro_growth","slightly affected","is_filamentous",FALSE,"PHIPO:0000414","abnormal unicellular population growth",,,"pathogen_genotype",,
"in_vitro_growth","slightly faster","is_filamentous",FALSE,"PHIPO:0001084","increased unicellular population growth rate",,,"pathogen_genotype",,
"in_vitro_growth","slightly reduced","is_filamentous",FALSE,"PHIPO:0000974","decreased unicellular population growth",,,"pathogen_genotype",,
"in_vitro_growth","slightly reduced until 48h","is_filamentous",FALSE,"PHIPO:0000974","decreased unicellular population growth",,,"pathogen_genotype",,
"in_vitro_growth","slowed","is_filamentous",FALSE,"PHIPO:0001085","decreased unicellular population growth rate",,,"pathogen_genotype",,
"in_vitro_growth","unable to metabolise acetate and fatty acids","is_filamentous",FALSE,"?",,,,"pathogen_genotype",,
"in_vitro_growth","unable to switch from budding to mycelial growth","is_filamentous",FALSE,"?","absence of cell growth mode switching, budding to filamentous",,,"pathogen_genotype",,
"in_vitro_growth","wild type (75%)","is_filamentous",FALSE,"?",,,,"pathogen_genotype",,
"in_vitro_growth","wild type growth rate","is_filamentous",FALSE,"PHIPO:0000405","normal unicellular population growth",,,"pathogen_genotype",,
"in_vitro_growth","wild type in liquid; reduced on plate","is_filamentous",FALSE,"PHIPO:0000405","normal unicellular population growth","PECO:0000103","liquid culture","pathogen_genotype",,
"in_vitro_growth","wild type in liquid; reduced on plate","is_filamentous",FALSE,"PHIPO:0000974","decreased unicellular population growth",,,"pathogen_genotype",,
"in_vitro_growth","wild type; aberrant","is_filamentous",FALSE,"?",,,,"pathogen_genotype",,
"in_vitro_growth","wild type; aberrant (highly pigmented)","is_filamentous",FALSE,"?",,,,"pathogen_genotype",,
"in_vitro_growth","wild type; reduced","is_filamentous",FALSE,"?",,,,"pathogen_genotype",,
"in_vitro_growth","yeast-like cells defective","is_filamentous",FALSE,"?",,,,"pathogen_genotype",,
"in_vitro_growth","yeast-like cells defective; defective hyphal growth","is_filamentous",TRUE,"PHIPO:0001215","abnormal hyphal growth",,,"pathogen_genotype",,
"in_vitro_growth","yeast-like cells slightly short","is_filamentous",FALSE,"?","abnormal unicellular colony morphology",,,"pathogen_genotype",,
"in_vitro_growth","yeast-like cells thick","is_filamentous",FALSE,"?","abnormal unicellular colony morphology",,,"pathogen_genotype",,
"mating_defect","no",,,"?",,,,"?",,
"mating_defect","yes",,,"?",,,,"?",,
"mating_defect","yes (female sterile)",,,"?",,,,"?",,
"mating_defect","yes (reduced)",,,"?",,,,"?",,
"mutant_phenotype","lethal",,,"PHIPO:0000513","inviable population",,,"pathogen_genotype",,
"mutant_phenotype","effector (plant avirulence determinant)",,,"GO:0140418","effector-mediated modulation of host process by symbiont",,,"gene",,
"mutant_phenotype","enhanced antagonism",,,"N/A",,,,"metagenotype","infective_ability","PHIPO:0000207"
"mutant_phenotype","chemistry target: resistance to chemical",,,"?","?",,,"pathogen_genotype",,
